"","Amplitude_ID","Total_Events","Total_Sessions","Usage_Min","First_Seen","Last_Seen","Num_Purchases","Total_Spent","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"5765","0",1,0,0,2016-07-06,NA,NA,6590461513,"CloudKit-f769de6301f233ab0f254081d93aca36f9042a014cad86c3adcb2e364dc6079b0600c95cdd9244fa062e5a6e4ba054977160a1751913913aff57fba9e3241a2e","Carrier","Moscow","Russia","Apple iPhone","Apple iPhone 6","","213.87.134.143","Russian","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Moscow","","3.4.0",0,0,FALSE,7135,0,TRUE,1,FALSE
"5766","0",64,0,0,2016-07-26,NA,NA,5800733780,"CloudKit-d9192888cd57ec540c2f29607e107f8c48b633327442e3a0d59cccc82cfb4faca5bcea4adb81c4046efb8103d4fb9012eb1a41d8697f4b488c2e8a408c48c43e","","Dresden","Germany","Apple iPad","Apple iPad 3","","92.208.174.251","German","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Saxony","3.3.2","3.5.1",0,0,FALSE,392,14,TRUE,23,FALSE
"5767","8610810580",2,0,0,2016-07-31,NA,NA,7599586763,"CloudKit-3b98937618aa4f047d05869bc1b084194da84e9ae97116452cbc0716eaf89c31c433e7a3b75254fa08b431aeda763e476219859c41552410d9020db1541da7ab","Sprint","Walled Lake","United States","Apple iPad6,4","Apple iPad6,4","Detroit, MI","76.122.149.205","English","amplitude-ios/3.7.0","ios 9.3.1",TRUE,"iOS","Michigan","3.3.3","3.3.3",0,0,FALSE,NA,0,FALSE,0,FALSE
"5768","6283164940",0,0,0,NA,NA,NA,6176633493,"CloudKit-432394b5c094e00e4fa23e95331baa5de429c16af0feb5c01bd1849d2c79a3a7f3c9e76214b7c319be698e3d13a1f42cf8888194968acd3b0053748e3b66c65c","Sprint","San Antonio","United States","Apple iPhone","Apple iPhone 6","San Antonio, TX","24.155.141.46","English","amplitude-ios/3.7.0","ios 9.3.2",TRUE,"iOS","Texas","3.3.3","3.3.3",0,0,TRUE,1002,3,TRUE,30,FALSE
"5769","0",3,0,0,2016-07-10,NA,NA,6623918207,"CloudKit-eb9c5f29e282a02025ff82c235e82baa39aa1b86ec5f8c298a1b8a2c0d1e5983f77f9f3ad5d12f21a94eb4a15b732cf2db4db536b50d747da461ebeabacd9459","Carrier","Kazan’","Russia","Apple iPhone","Apple iPhone 6","","85.140.3.13","Russian","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Tatarstan","3.3.3","3.4.0",0,0,FALSE,5279,0,TRUE,2,FALSE
"5770","0",9,0,0,2016-07-19,NA,NA,7086304127,"CloudKit-4dda28611119bb89897d36d794d47642e54759034ddaf51a897e908232b5741cebf5b757861b173edaf6fe4acff4ddeb1a7000a27b0543140c9e76ef528c9a31","AT&T","City of Saint Peters","United States","Apple iPhone","Apple iPhone 6s Plus","St. Louis, MO","68.184.251.134","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Missouri","3.3.3","3.5.1",0,0,FALSE,950,1,TRUE,13,FALSE
"5771","0",1,0,0,2016-07-26,NA,NA,8448087808,"CloudKit-e210eff65a08f6e0d031fbfa7b7fa8911e12af3452c228d75e60cd3d854b70980c43e2137578adfba2fba0931885d20b7a51c95238ac489d22cac23daa2ad571","Tigo","","Tanzania","Apple iPhone","Apple iPhone 6","","41.222.180.169","English","amplitude-ios/3.8.2","ios 9.1",TRUE,"iOS","","3.5.1","3.5.1",0,0,FALSE,0,0,TRUE,11,FALSE
"5772","0",12,0,0,2016-08-01,NA,NA,6935188871,"","Telstra","Quakers Hill","Australia","Apple iPhone","Apple iPhone 5c","","58.172.139.88","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","New South Wales","3.3.3","3.5.1",0,0,TRUE,2403,0,TRUE,11,FALSE
"5773","0",4,0,0,2016-07-14,NA,NA,6380231862,"CloudKit-e66ae08124b3ec7d786f8cdb1e43ecf3cfb181284f6c4f9c63b447db4cbea4125b5c65ef240aff487c0b3a3f66ddecd78ac35418630579dbabd9210a8fdb65bf","T-Mobile","Aurora","United States","Apple iPhone","Apple iPhone 6","Denver, CO","172.56.21.24","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Colorado","3.3.3","3.4.0",0,0,FALSE,204,0,TRUE,1,FALSE
"5774","0",3,0,0,2016-07-23,NA,NA,8373551256,"CloudKit-93ce44c0a3ab92a075940533d600930117fa363940cfbdf1112aa4c3a07b527fcc401c5a5d1ab71935025679d9fbfbf2a3cdb8a7c1efea9b94dfedb2100279aa","Verizon","Chester","United States","Apple iPhone","Apple iPhone 5c","New York, NY","74.90.142.200","English","amplitude-ios/3.8.2","ios 9.3.3",TRUE,"iOS","New York","3.5.1","3.5.1",0,0,FALSE,6,0,TRUE,12,FALSE
"5775","0",1,0,0,2016-07-04,NA,NA,6590926449,"CloudKit-26852420467823bbeb93ec702b4ec7e6b112e5f3730e09ffbf14b13b4a8a65246ce4356c6f31f82b569892b72166ac8ae08a40bb396726586764b44ca67956fc","KPN NL","Eindhoven","Netherlands","Apple iPhone","Apple iPhone 6s","","86.93.56.52","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","North Brabant","","3.4.0",0,0,FALSE,691,0,TRUE,1,FALSE
"5776","8412287108",3,0,0,2016-07-27,NA,NA,8411824845,"CloudKit-32f66a8e7431cbc51a9d9a79ac69293f08fbf7380abeba561c63e0b14ab009c0c3baa6c81c6511afccd5d1bca6dcbc4a4a61c682bfdd81459b4eaac2e1b21cd1","Verizon","Meriden","United States","Apple iPhone","Apple iPhone 6","Hartford & New Haven, CT","32.211.25.117","English","amplitude-ios/3.8.2","ios 9.3.3",TRUE,"iOS","Connecticut","3.5.1","3.5.1",0,0,FALSE,NA,2,FALSE,11,FALSE
"5777","8624422331",3,0,0,2016-07-31,NA,NA,7532673511,"CloudKit-bbf02812dd765b28cfea81a89ceeee36a0eec0d40d3c2d6f27f1819c82d59642f1549c24c303dbde3390d883de633ee4efcbb019a3a6697798e368dfb531df09","Verizon","Encino","United States","Apple iPhone","Apple iPhone 6","Los Angeles, CA","23.241.75.4","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","California","3.3.3","3.4.0",0,0,FALSE,6928,2,TRUE,3,FALSE
"5778","0",2,0,0,2016-07-21,NA,NA,8157793116,"","EE","Edinburgh","United Kingdom","Apple iPhone","Apple iPhone 6s","","94.175.89.30","English","amplitude-ios/3.8.2","ios 9.3.1",TRUE,"iOS","Edinburgh","3.5.0","3.5.1",0,0,FALSE,142,0,TRUE,12,FALSE
"5779","0",0,0,0,NA,NA,NA,6134779406,"CloudKit-5a5e406908a4e1d2fd454c26939df20ebc10072ca13607f9e3ff2c88e8cacfca0f16978f0b4c0b8cae4b48c270941ee5dfc44a0e75e5d650fde536c8fae4447f","Telcel","Mexico City","Mexico","Apple iPhone","Apple iPhone 6","","201.114.154.101","Spanish","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Mexico City","3.3.3","3.5.1",0,0,FALSE,2350,0,TRUE,52,FALSE
"5780","0",1,0,0,2016-07-02,NA,NA,6593714018,"CloudKit-34d9312c625d169433b88054e770f32cc0fd4018dac37d5bc7819e27534f8eddb5e9c33b58ac6b5b3e85702f9f379558568885e6269dee0ede7a5527c71effee","M1 Singapore","Singapore","Singapore","Apple iPhone","Apple iPhone 6 Plus","","103.252.200.254","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Central Singapore Community Development Council","","3.4.0",0,0,FALSE,11056,0,TRUE,9,FALSE
"5781","0",3,0,0,2016-07-22,NA,NA,8178050955,"12AD257F-4EE5-4B68-8DE8-D49570FD1DC5","中国联通","Xi'an","China","Apple iPhone","Apple iPhone 6s","","223.11.248.100","Chinese","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Shaanxi","3.5.0","3.5.1",0,0,FALSE,1106,0,TRUE,11,FALSE
"5782","0",0,0,0,NA,NA,NA,5856694962,"CloudKit-b46a6c1f5a04ded8631cfc0d45fdf0bfe5e1779323f82bf69d421acb5a2dbd3e257c7ddb02e8f0d59f88f77a0a3637a28597cd36ee10cc37f34c632f033bce05","Viettel","Ho Chi Minh City","Vietnam","Apple iPhone","Apple iPhone 6","","14.161.15.207","Vietnamese","amplitude-ios/3.8.1","ios 9.0.2",TRUE,"iOS","Ho Chi Minh City","3.3.2","3.4.0",0,0,TRUE,582,96,TRUE,14,FALSE
"5783","0",47,0,0,2016-07-27,NA,NA,7543646806,"","Rogers","","Canada","Apple iPad","Apple iPad Air 2","","24.114.42.239","English","amplitude-ios/3.7.0","ios 9.3.1",TRUE,"iOS","British Columbia","3.3.2","3.3.3",0,0,FALSE,3511,0,TRUE,2,FALSE
"5784","0",7,0,0,2016-07-04,NA,NA,6243682844,"","Vodafone India","Delhi","India","Apple iPhone","Apple iPhone 5s","","122.176.191.16","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","National Capital Territory of Delhi","3.3.3","3.4.0",0,0,FALSE,5474,1,TRUE,13,FALSE
"5785","0",2,0,0,2016-07-12,NA,NA,6790530718,"CloudKit-63675200c70d5a8d39998fc4a38967ed50037e542cc4d8d40cf9a3ed864761173c92dcf7056c519c3d2294e06ccb08ab23b5f7509f78cc72f1ac1b7d0728074b","C Spire","Jackson","United States","Apple iPhone","Apple iPhone 6","Jackson, MS","73.91.177.175","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","Mississippi","3.3.3","3.4.0",0,0,FALSE,501,0,TRUE,2,FALSE
"5786","8296059402",1,0,0,2016-07-21,NA,NA,6595305012,"CloudKit-11e0d379643f94df4320fc58570d905f9108f48132099854a520aff5f6bd0e1bfcc8445af6cc8b46386a45945484fcefda0640669ba404579d41220adf4db600","Verizon","Troy","United States","Apple iPhone","Apple iPhone 6s","Dayton, OH","70.208.230.14","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Ohio","","3.5.0",0,0,FALSE,149,1,TRUE,12,FALSE
"5787","0",3,0,0,2016-07-29,NA,NA,8440080019,"CloudKit-35b9c26e61a7f688de6ba964d400fae6b1d95e82997df7b27c4f936d49adcae34eb0ed62ce1fccc80a10520760483967826e07cf09c86805918a76ab53d2cf78","Verizon","Ashland","United States","Apple iPhone","Apple iPhone 5s","Cleveland-Akron (Canton), OH","173.90.146.224","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Ohio","3.5.1","3.5.1",0,0,FALSE,NA,0,FALSE,11,FALSE
"5788","0",6,0,0,2016-07-23,NA,NA,6056053531,"CloudKit-a48dbda2377f2ec9797a271bd811adea31007e7ee3c184b70549e3759a1197a8c4c6005500b912f9f37e6aae73c544dbabe0f28082e7390f61f669abd7d97e17","TIM","Selvazzano Dentro","Italy","Apple iPhone","Apple iPhone 6s Plus","","95.232.49.7","Italian","amplitude-ios/3.8.2","ios 10.0",TRUE,"iOS","Padua","3.3.3","3.5.1",0,0,FALSE,843,2,TRUE,15,FALSE
"5789","0",1,0,0,2016-07-18,NA,NA,8219883738,"","AT&T","Kirkland","United States","Apple iPhone","Apple iPhone 5s","Seattle-Tacoma, WA","73.225.5.223","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Washington","3.5.0","3.5.0",0,0,FALSE,NA,0,FALSE,11,FALSE
"5790","0",4,0,0,2016-07-21,NA,NA,7898585317,"CloudKit-638090ab626c53753da9124e1f6e768f867ecfd8803712c3ac2f71a86694ca64295b52d132499841548ff10099fa03159b2840879a74706dd98fa4fb90eec075","AT&T","Marietta","United States","Apple iPhone","Apple iPhone 6s","Atlanta, GA","107.77.236.174","English","amplitude-ios/3.8.2","ios 9.3.2",TRUE,"iOS","Georgia","3.4.0","3.5.1",0,0,FALSE,166,0,TRUE,12,FALSE
"5791","0",3,0,0,2016-07-20,NA,NA,6584777826,"","Sprint","Brooklyn","United States","Apple iPhone","Apple iPhone 6","New York, NY","66.87.116.56","English","amplitude-ios/3.8.1","ios 9.3.2",TRUE,"iOS","New York","3.3.3","3.4.0",0,0,FALSE,428,0,TRUE,1,FALSE
"5792","0",22,0,0,2016-07-02,NA,NA,6589236807,"CloudKit-8c3394d5c8348faba4d89887e90ae5ce3b18cb36270c9b7d18598ee3860dab5c91fb6c00b7138d96c77e8f54b5c3d3661b21dba9c9476a4e67f5af0e4f2fd708","Telkomsel","Surakarta","Indonesia","Apple iPhone","Apple iPhone 5s","","114.120.233.191","English","amplitude-ios/3.7.0","ios 9.3.2",TRUE,"iOS","Central Java","","3.3.3",0,0,TRUE,469,55,TRUE,13,FALSE
"5793","0",4,0,0,2016-07-04,NA,NA,5941165360,"CloudKit-600bb234dd9ff763d86754bfa8472835123ee7c76f17e66e726ec3a6703f6cb8b726ad707886aba0701eecf277180566d795711215b026a52e63aee0c1a4aef8","Singtel","Singapore","Singapore","Apple iPhone","Apple iPhone 6s","","14.100.136.212","English","amplitude-ios/3.8.1","ios 9.2.1",TRUE,"iOS","Central Singapore Community Development Council","3.3.2","3.4.0",0,0,TRUE,173,0,TRUE,4,FALSE
